display_name,first_name,last_name,birth_date,college_name,position,jersey_number,height,weight,team_abbr,draft_club,headshot,draftround
Clifton Abraham,Clifton,Abraham,12/9/1971,Florida St.,DB,,9-May,184,,Tampa Bay Buccaneers,,5th
Donnie Abraham,Donnie,Abraham,10/8/1973,East Tennessee St.,DB,,10-May,190,,Tampa Bay Buccaneers,,3rd
John Abraham,John,Abraham,5/6/1978,South Carolina,DE,,4-Jun,256,,New York Jets,,1st
Robert Abraham,Robert,Abraham,7/13/1960,North Carolina St.,LB,,1-Jun,228,,Houston Oilers,,3rd
Danny Abramowicz,Danny,Abramowicz,7/13/1945,Xavier (OH),E,,1-Jun,195,,New Orleans Saints,,17th
Sid Abramowitz,Sid,Abramowitz,5/21/1960,Air Force,T,,6-Jun,280,,Baltimore Colts,,5th
Bobby Abrams,Bobby,Abrams,4/12/1967,Michigan,LB,,3-Jun,240,,,,
Kevin Abrams,Kevin,Abrams,2/28/1974,Syracuse,DB,,8-May,175,,Detroit Lions,,2nd
Nate Abrams,Nate,Abrams,1897-12-25,none,E,,4-May,145,,,,
George Abramson,George,Abramson,5/13/1903,Minnesota,G-T,,7-May,198,,,,
Dick Abrell,Dick,Abrell,1892-05-18,Purdue,BB-WB,,10-May,172,,,,
Ray Abruzzese,Ray,Abruzzese,10/27/1937,Alabama,B,,1-Jun,194,,Buffalo Bills,,23rd
Frank Abruzzino,Frank,Abruzzino,1/22/1908,Colgate,BB-LB-C-G-E-WB-,,Jun-00,193,,,,
Dick Absher,Dick,Absher,4/19/1944,Maryland,LB-K,,4-Jun,230,,Philadelphia Eagles,,5th
Steve Ache,Steve,Ache,3/16/1962,SW Missouri St.,LB,,3-Jun,229,,,,
George Achica,George,Achica,12/19/1960,USC,DT,,5-Jun,260,,Baltimore Colts,,3rd
Sneeze Achiu,Sneeze,Achiu,8/3/1902,Hawaii,WB-TB-E-BB,,8-May,169,,,,
Emmanuel Acho,Emmanuel,Acho,11/10/1990,Texas,OLB,,1-Jun,238,,Cleveland Browns,,6th
Sam Acho,Sam,Acho,9/6/1988,Texas,OLB,,2-Jun,262,,Arizona Cardinals,,4th
Bill Acker,Bill,Acker,11/7/1956,Texas,NT,,3-Jun,255,,St. Louis Cardinals,,6th
Rick Ackerman,Rick,Ackerman,6/16/1959,Memphis,NT-DT,,4-Jun,258,,,,
Tom Ackerman,Tom,Ackerman,9/6/1972,East. Washington,G-C,,3-Jun,290,,New Orleans Saints,,5th
Ron Acks,Ron,Acks,10/3/1944,Illinois,LB,,2-Jun,214,,Minnesota Vikings,,4th
Fred Acorn,Fred,Acorn,3/17/1961,Texas,DB,,10-May,185,,Tampa Bay Buccaneers,,3rd
Ed Adamchik,Ed,Adamchik,11/2/1941,Pittsburgh,C,,2-Jun,235,,Buffalo Bills,,21st
Mike Adamle,Mike,Adamle,10/4/1949,Northwestern,RB,,9-May,197,,Kansas City Chiefs,,5th
Tony Adamle,Tony,Adamle,5/15/1924,Ohio St.,LB-FB,,Jun-00,215,,Chicago Bears,,12th
Anthony Adams,Anthony,Adams,6/18/1980,Penn St.,DT-NT,,Jun-00,300,,San Francisco 49ers,,2nd
Bill Adams,Bill,Adams,2/4/1950,Holy Cross,G-T,,2-Jun,255,,Miami Dolphins,,7th
Blue Adams,Blue,Adams,10/15/1979,Cincinnati,DB,,9-May,182,,Detroit Lions,,7th
Bob Adams,Bob,Adams,8/15/1946,Pacific,TE-T,,2-Jun,225,,,,
Brent Adams,Brent,Adams,6/26/1952,Tenn-Chattanooga,T,,5-Jun,256,,Atlanta Falcons,,8th
Charlie Adams,Charlie,Adams,10/23/1979,Hofstra,WR,,2-Jun,190,,,,
Chet Adams,Chet,Adams,10/24/1915,Ohio,T-E-DT,,3-Jun,233,,Cleveland Rams,,12th
Curtis Adams,Curtis,Adams,4/30/1962,Central Michigan,RB,,Jun-00,198,,San Diego Chargers,,8th
Darvin Adams,Darvin,Adams,1/5/1990,Auburn,WR,,2-Jun,194,,,,
David Adams,David,Adams,6/24/1964,Arizona,RB,,6-May,168,,Indianapolis Colts,,12th
Doug Adams,Doug,Adams,11/3/1949,Ohio St.,LB,,1-Jun,225,,Denver Broncos,,7th
Earnest Adams,Earnest,Adams,3/12/1959,Illinois,LB,,3-Jun,226,,,,
Flozell Adams,Flozell,Adams,5/18/1975,Michigan St.,T-G-TE,,7-Jun,335,,Dallas Cowboys,,2nd
Gaines Adams,Gaines,Adams,6/8/1983,Clemson,DE,,5-Jun,258,,Tampa Bay Buccaneers,,1st
George Adams,George,Adams,12/22/1962,Kentucky,RB,,1-Jun,225,,New York Giants,,1st
Henry Adams,Henry,Adams,12/24/1915,Pittsburgh,C,,1-Jun,190,,,,
Jamar Adams,Jamar,Adams,11/29/1985,Michigan,DB,,2-Jun,209,,,,
Jeff Adams,Jeff,Adams,9/6/1989,Columbia,T,,5-Jun,305,,,,
Joe Adams,Joe,Adams,11/22/1989,Arkansas,WR,,11-May,179,,Carolina Panthers,,4th
John Adams,John,Adams,9/22/1921,Notre Dame,T,,7-Jun,242,,Washington Redskins,,3rd
John Adams,John,Adams,11/28/1937,UCLA,E-FB,,3-Jun,235,,Chicago Bears,,5th
Johnny Adams,Johnny,Adams,6/9/1989,Michigan St.,CB,,10-May,185,,,,
Julius Adams,Julius,Adams,4/26/1948,Texas Southern,DE-DT,,3-Jun,270,,New England Patriots,,2nd
Keith Adams,Keith,Adams,11/22/1979,Clemson,LB,,11-May,223,,Tennessee Titans,,7th
Kendrick Adams,Kendrick,Adams,11/3/1988,LSU,DL,,5-Jun,250,,,,
Kris Adams,Kris,Adams,9/4/1987,Texas-El Paso,WR,,3-Jun,195,,,,
Kyle Adams,Kyle,Adams,1/19/1988,Purdue,TE,,4-Jun,255,,,,
Michael Adams,Michael,Adams,4/5/1964,Arkansas St.,DB,,9-May,195,,New Orleans Saints,,3rd
Michael Adams,Michael,Adams,6/17/1985,La-Lafayette,DB,,8-May,178,,,,
Mike Adams,Mike,Adams,3/25/1974,Texas,WR,,11-May,185,,Pittsburgh Steelers,,7th
Mike Adams,Mike,Adams,3/24/1981,Delaware,DB,,10-May,195,,,,
Mike Adams,Mike,Adams,3/10/1990,Ohio St.,OT,,7-Jun,323,,Pittsburgh Steelers,,2nd
Neal Adams,Neal,Adams,1/21/1919,Arkansas,E,,3-Jun,195,,,,
Pete Adams,Pete,Adams,5/4/1951,USC,G,,4-Jun,260,,Cleveland Browns,,1st
Phillip Adams,Phillip,Adams,7/20/1988,South Carolina St.,DB,,Jun-00,193,,San Francisco 49ers,,7th
Sam Adams,Sam,Adams,9/20/1948,Prairie View,G-T,,3-Jun,256,,,,
Sam Adams,Sam,Adams,6/13/1973,Texas A&M,DT-DE,,3-Jun,295,,Seattle Seahawks,,1st
Scott Adams,Scott,Adams,9/28/1966,Georgia,G-T,,5-Jun,301,,,,
Stan Adams,Stan,Adams,5/22/1960,Memphis,LB,,2-Jun,215,,,,
Stefon Adams,Stefon,Adams,8/11/1963,East Carolina,DB,,10-May,189,,Los Angeles Raiders,,3rd
Theo Adams,Theo,Adams,4/24/1966,Hawaii,T,,4-Jun,300,,,,
Titus Adams,Titus,Adams,1/28/1983,Nebraska,DT,,3-Jun,305,,New York Jets,,7th
Tom Adams,Tom,Adams,4/26/1940,Minnesota-Duluth,WR,,5-Jun,215,,,,
Tony Adams,Tony,Adams,3/9/1950,Texas,QB,,Jun-00,198,,San Diego Chargers,,14th
Vashone Adams,Vashone,Adams,9/12/1973,Fort Hays St.,DB,,10-May,197,,,,
Verlin Adams,Verlin,Adams,7/14/1918,Charleston (WV),DE-T-G-E-LB,,Jun-00,205,,New York Giants,,31st
Willie Adams,Willie,Adams,12/12/1941,New Mexico St.,DE-LB,,2-Jun,235,,Washington Redskins,,11th
Willis Adams,Willis,Adams,8/22/1956,Houston,WR,,2-Jun,194,,Cleveland Browns,,1st
Ken Adamson,Ken,Adamson,10/12/1938,Notre Dame,G,,2-Jun,235,,,,
Levy Adcock,Levy,Adcock,11/12/1988,Oklahoma St.,T,,6-Jun,324,,,,
Jahleel Addae,Jahleel,Addae,1/24/1990,Cental Michigan,S,,11-May,195,,,,
Joseph Addai,Joseph,Addai,5/3/1983,LSU,RB,,11-May,210,,Indianapolis Colts,,1st
Abe Addams,Abe,Addams,7/12/1926,Indiana,DE,,2-Jun,220,,,,
Herb Adderley,Herb,Adderley,6/8/1939,Michigan St.,DB,,Jun-00,205,,Green Bay Packers,,1st
Mario Addison,Mario,Addison,11/30/1989,Troy,DE,,3-Jun,252,,,,
Tom Addison,Tom,Addison,4/12/1936,South Carolina,LB,,2-Jun,230,,Baltimore Colts,,12th
Nick Adduci,Nick,Adduci,7/12/1929,Nebraska,LB,,10-May,207,,,,
Victor Adeyanju,Victor,Adeyanju,2/11/1983,Indiana,DE,,4-Jun,270,,St. Louis Rams,,4th
Xavier Adibi,Xavier,Adibi,10/18/1984,Virginia Tech,LB,,2-Jun,220,,Houston Texans,,4th
John Adickes,John,Adickes,6/29/1964,Baylor,C,,3-Jun,264,,Chicago Bears,,6th
Mark Adickes,Mark,Adickes,4/22/1961,Baylor,G,,4-Jun,278,,Kansas City Chiefs,,1st
Bob Adkins,Bob,Adkins,2/17/1917,Marshall,BB-DE-G-LB,,1-Jun,213,,,,
Kevin Adkins,Kevin,Adkins,8/27/1965,Oklahoma,DB,,1-Jun,250,,,,
Margene Adkins,Margene,Adkins,4/30/1947,Henderson JC,WR,,10-May,183,,Dallas Cowboys,,2nd
Roy Adkins,Roy,Adkins,1898-10-05,Millikin,G,,7-May,180,,,,
Sam Adkins,Sam,Adkins,5/21/1955,Wichita St.,QB,,2-Jun,214,,Seattle Seahawks,,10th
Spencer Adkins,Spencer,Adkins,5/16/1987,Miami (FL),LB,,11-May,246,,Atlanta Falcons,,6th
James Adkisson,James,Adkisson,1/11/1980,South Carolina,WR,,5-Jun,230,,,,
Daniel Adongo,Daniel,Adongo,10/12/1989,Pretoria,LB,,5-Jun,257,,,,
Al Afalava,Al,Afalava,1/20/1987,Oregon St.,DB,,11-May,213,,Chicago Bears,,6th
Erik Affholter,Erik,Affholter,4/10/1966,USC,WR,,Jun-00,187,,Washington Redskins,,4th
Dick Afflis,Dick,Afflis,6/27/1929,Purdue,T-DG-G,,Jun-00,251,,Green Bay Packers,,16th
Ben Agajanian,Ben,Agajanian,8/28/1919,New Mexico,K,,Jun-00,215,,,,
Alex Agase,Alex,Agase,3/27/1922,Purdue,LB-G,,10-May,212,,Green Bay Packers,,8th
Louis Age,Louis,Age,2/1/1970,La-Lafayette,T,,7-Jun,350,,Chicago Bears,,11th
Mel Agee,Mel,Agee,11/22/1968,Illinois,DE-DT,,5-Jun,300,,Indianapolis Colts,,6th
Sam Agee,Sam,Agee,10/21/1915,Vanderbilt,FB,,1-Jun,218,,,,
Tommie Agee,Tommie,Agee,2/22/1964,Auburn,RB,,Jun-00,225,,Seattle Seahawks,,5th
Bob Agler,Bob,Agler,3/13/1924,Otterbein,HB-DB-FB-LB,,1-Jun,208,,,,
Ray Agnew,Ray,Agnew,12/9/1967,North Carolina St.,DT-DE,,3-Jun,285,,New England Patriots,,1st
Vincent Agnew,Vincent,Agnew,12/28/1987,,CB,,10-May,192,,,,
Louie Aguiar,Louie,Aguiar,6/30/1966,Utah St.,P,,2-Jun,215,,,,
Joe Aguirre,Joe,Aguirre,10/17/1918,St. Mary's (CA),E,,4-Jun,225,,Washington Redskins,,11th
C.J. Ah You,C.J.,Ah,7/7/1982,Oklahoma,DE,,4-Jun,265,,Buffalo Bills,,7th
Chidi Ahanotu,Chidi,Ahanotu,10/11/1970,California,DE-DT,,2-Jun,283,,Tampa Bay Buccaneers,,6th
Dan Ahern,Dan,Ahern,1898-02-15,Georgetown (DC),T,,2-Jun,200,,,,
Dave Ahrens,Dave,Ahrens,12/5/1958,Wisconsin,LB,,3-Jun,238,,St. Louis Cardinals,,6th
Tony Aiello,Tony,Aiello,4/29/1921,Youngstown St.,WB-BB,,6-May,165,,,,
Danny Aiken,Danny,Aiken,8/28/1988,Virginia,LS,,4-Jun,250,,,,
Kamar Aiken,Kamar,Aiken,5/30/1989,Central Florida,WR,,2-Jun,212,,,,
Sam Aiken,Sam,Aiken,12/14/1980,North Carolina,WR,,2-Jun,204,,Buffalo Bills,,4th
Carl Aikens,Carl,Aikens,6/5/1962,Northern Illinois,WR,,1-Jun,185,,,,
Troy Aikman,Troy,Aikman,11/21/1966,Oklahoma,QB,,4-Jun,219,,Dallas Cowboys,,1st
Jim Ailinger,Jim,Ailinger,7/10/1901,Buffalo,G,,11-May,185,,,,
Charles Aiu,Charles,Aiu,5/22/1954,Hawaii,G,,2-Jun,251,,,,
Victor Aiyewa,Victor,Aiyewa,2/4/1987,,LB,,1-Jun,219,,,,
Seyi Ajirotutu,Seyi,Ajirotutu,6/12/1987,Fresno St.,WR,,3-Jun,211,,,,
Hakim Akbar,Hakim,Akbar,8/11/1980,Washington,LB,,Jun-00,222,,New England Patriots,,5th
David Akers,David,Akers,12/9/1974,Louisville,K,,10-May,200,,,,
Harold Akin,Harold,Akin,1/11/1945,Oklahoma St.,T,,5-Jun,260,,San Diego Chargers,,3rd
Len Akin,Len,Akin,4/8/1916,Baylor,G-LB,,11-May,207,,Chicago Bears,,7th
Al Akins,Al,Akins,6/13/1921,Washington,HB-DB,,1-Jun,199,,Cleveland Rams,,6th
Chris Akins,Chris,Akins,11/29/1976,Arkansas,DB,,11-May,200,,Green Bay Packers,,7th
Frank Akins,Frank,Akins,3/31/1919,Washington St.,FB,,10-May,208,,Washington Redskins,,30th
Mike Akiu,Mike,Akiu,2/12/1962,Washington St.,WR,,9-May,182,,Houston Oilers,,7th
Anthony Alabi,Anthony,Alabi,2/16/1981,TCU,T,,5-Jun,315,,Miami Dolphins,,5th
Ikaika Alama-Francis,Ikaika,Alama-Francis,12/4/1984,Hawaii,DE,,5-Jun,280,,Detroit Lions,,2nd
Dick Alban,Dick,Alban,1/17/1929,Northwestern,DB,,Jun-00,193,,Washington Redskins,,9th
Dom Albanese,Dom,Albanese,9/9/1903,Ohio Dominican,BB-E-FB,,9-May,190,,,,
Vannie Albanese,Vannie,Albanese,12/2/1912,Syracuse,FB-DB-BB-LB,,Jun-00,184,,,,
Tom Alberghini,Tom,Alberghini,10/27/1920,Holy Cross,G,,10-May,200,,Cleveland Rams,,13th
Branden Albert,Branden,Albert,11/4/1984,Virginia,G,,5-Jun,215,,Kansas City Chiefs,,1st
Frankie Albert,Frankie,Albert,1/27/1920,Stanford,QB-DB,,10-May,166,,Chicago Bears,,1st
Sergio Albert,Sergio,Albert,10/28/1951,Anahuac (Mexico),K,,3-Jun,195,,St. Louis Cardinals,,8th
Trev Alberts,Trev,Alberts,8/8/1970,Nebraska,LB,,4-Jun,245,,Indianapolis Colts,,1st
Art Albrecht,Art,Albrecht,2/24/1921,Wisconsin,T-C-LB,,1-Jun,203,,,,
Ted Albrecht,Ted,Albrecht,10/8/1954,California,T-G,,4-Jun,253,,Chicago Bears,,1st
Alex Albright,Alex,Albright,1/29/1988,Boston Col.,LB,,5-Jun,251,,,,
Bill Albright,Bill,Albright,4/4/1929,Wisconsin,G-T-DT,,1-Jun,233,,New York Giants,,20th
Ethan Albright,Ethan,Albright,5/1/1971,North Carolina,G-C-T,,5-Jun,283,,,,
Ira Albright,Ira,Albright,1/2/1959,NE State (OK),NT-RB,,Jun-00,285,,,,
Vince Albritton,Vince,Albritton,7/23/1962,Washington,DB,,2-Jun,215,,,,
Zac Alcorn,Zac,Alcorn,8/24/1980,Chadron St.,TE,,4-Jun,260,,,,
Grady Alderman,Grady,Alderman,12/10/1938,Detroit Mercy,T-G,,2-Jun,247,,Detroit Lions,,10th
John Alderton,John,Alderton,9/5/1931,Maryland,DE,,1-Jun,200,,Pittsburgh Steelers,,7th
Ki Aldrich,Ki,Aldrich,6/1/1916,TCU,C-LB-G,,Jun-00,207,,Chicago Cardinals,,1st
Allen Aldridge,Allen,Aldridge,4/27/1945,Prairie View,DE,,6-Jun,250,,,,
Allen Aldridge,Allen,Aldridge,5/30/1972,Houston,LB,,1-Jun,254,,Denver Broncos,,2nd
Bennie Aldridge,Bennie,Aldridge,10/24/1926,Oklahoma St.,DB-HB,,Jun-00,195,,New York Yanks,,6th
Jerry Aldridge,Jerry,Aldridge,9/17/1956,Angelo State (TX),RB,,2-Jun,220,,San Francisco 49ers,,5th
Kevin Aldridge,Kevin,Aldridge,3/3/1980,SMU,DE,,1-Jun,285,,,,
Lionel Aldridge,Lionel,Aldridge,2/14/1941,Utah St.,DE,,3-Jun,254,,Houston Oilers,,6th
Melvin Aldridge,Melvin,Aldridge,7/22/1970,Murray St.,DB,,2-Jun,195,,,,
Arnold Ale,Arnold,Ale,6/17/1970,Notre Dame,LB,,2-Jun,234,,,,
Ink Aleaga,Ink,Aleaga,4/27/1973,Washington,LB,,1-Jun,251,,,,
Chas Alecxih,Chas,Alecxih,2/10/1989,Pittsburgh,DT,,3-Jun,296,,,,
Keith Alex,Keith,Alex,6/9/1969,Texas A&M,G,,4-Jun,307,,Atlanta Falcons,,9th
Steve Alexakos,Steve,Alexakos,12/15/1946,Arizona St.,G,,2-Jun,250,,Boston Patriots,,9th
Alvester Alexander,Alvester,Alexander,10/17/1990,Wyoming,RB,,11-May,204,,,,
Brent Alexander,Brent,Alexander,7/10/1971,Tennessee St.,DB,,11-May,189,,,,
Bruce Alexander,Bruce,Alexander,9/17/1965,S.F. Austin,DB,,9-May,170,,,,
Charles Alexander,Charles,Alexander,7/28/1957,LSU,RB,,1-Jun,224,,Cincinnati Bengals,,1st
Dan Alexander,Dan,Alexander,6/17/1955,LSU,G-T,,4-Jun,260,,New York Jets,,8th
Dan Alexander,Dan,Alexander,3/17/1978,Nebraska,RB,,Jun-00,257,,Tennessee Titans,,6th
Danario Alexander,Danario,Alexander,8/7/1986,Missouri,WR,,5-Jun,221,,,,
David Alexander,David,Alexander,7/28/1964,Tulsa,C-G-T,,3-Jun,275,,Philadelphia Eagles,,5th
Derrick Alexander,Derrick,Alexander,11/6/1971,Michigan,WR,,2-Jun,195,,Cleveland Browns,,1st
Derrick L. Alexander,Derrick,L.,11/13/1973,Florida St.,DE,,4-Jun,277,,Minnesota Vikings,,1st
Doc Alexander,Doc,Alexander,1898-04-01,Syracuse,C-G-T-E,,11-May,220,,,,
Elijah Alexander,Elijah,Alexander,8/2/1970,Kansas St.,LB,,2-Jun,233,,Tampa Bay Buccaneers,,10th
Eric Alexander,Eric,Alexander,2/8/1982,LSU,LB,,3-Jun,230,,,,
Frank Alexander,Frank,Alexander,12/17/1989,Oklahoma,DE,,4-Jun,270,,Carolina Panthers,,4th
Gerald Alexander,Gerald,Alexander,6/28/1984,Boise St.,DB,,Jun-00,210,,Detroit Lions,,2nd
Glenn Alexander,Glenn,Alexander,6/3/1947,Grambling St.,WR,,3-Jun,205,,Buffalo Bills,,3rd
Harold Alexander,Harold,Alexander,10/20/1970,Appalachian St.,P,,2-Jun,224,,Atlanta Falcons,,3rd
Jeff Alexander,Jeff,Alexander,1/15/1965,Tulane,RB,,Jun-00,232,,,,
John Alexander,John,Alexander,1896-07-04,Rutgers,T,,4-Jun,234,,,,
John Alexander,John,Alexander,11/12/1955,Rutgers,DE,,2-Jun,250,,Miami Dolphins,,11th
Kermit Alexander,Kermit,Alexander,1/4/1941,UCLA,DB,,11-May,187,,Denver Broncos,,1st
Kevin Alexander,Kevin,Alexander,1/23/1975,Utah St.,WR,,9-May,185,,,,
Kevin Alexander,Kevin,Alexander,7/1/1987,Clemson,LB/DE,,4-Jun,265,,,,
Lorenzo Alexander,Lorenzo,Alexander,5/31/1983,California,DT,,1-Jun,300,,,,
Mike Alexander,Mike,Alexander,3/19/1965,Penn St.,WR,,3-Jun,195,,Los Angeles Raiders,,8th
Mister Alexander,Mister,Alexander,6/2/1988,Florida St.,LB,,3-Jun,227,,,,
P.J. Alexander,P.J.,Alexander,12/23/1978,Syracuse,G,,4-Jun,297,,,,
Patrise Alexander,Patrise,Alexander,10/23/1972,La-Lafayette,LB,,1-Jun,244,,,,
Ray Alexander,Ray,Alexander,1/8/1962,Florida A&M,WR,,4-Jun,195,,,,
Robert Alexander,Robert,Alexander,4/21/1958,West Virginia,RB,,Jun-00,185,,Los Angeles Rams,,10th
Roc Alexander,Roc,Alexander,9/23/1981,Washington,DB,,Jun-00,193,,,,
Rogers Alexander,Rogers,Alexander,8/11/1964,Penn St.,LB,,3-Jun,222,,New York Jets,,4th
Rufus Alexander,Rufus,Alexander,4/12/1983,Oklahoma,LB,,1-Jun,228,,Minnesota Vikings,,6th
Shaun Alexander,Shaun,Alexander,8/30/1977,Alabama,RB,,11-May,225,,Seattle Seahawks,,1st
Stephen Alexander,Stephen,Alexander,11/7/1975,Oklahoma,TE,,4-Jun,246,,Washington Redskins,,2nd
Vincent Alexander,Vincent,Alexander,3/11/1964,Southern Miss,RB,,10-May,205,,,,
Willie Alexander,Willie,Alexander,9/21/1949,Alcorn St.,DB,,2-Jun,194,,Houston Oilers,,6th
Alton Alexis,Alton,Alexis,11/16/1957,Tulane,WR,,Jun-00,184,,Cincinnati Bengals,,11th
Rich Alexis,Rich,Alexis,3/6/1981,Washington,RB,,Jun-00,220,,,,
Ted Alflen,Ted,Alflen,1/3/1947,Springfield,RB,,Jun-00,195,,,,
Julie Alfonse,Julie,Alfonse,10/12/1911,Minnesota,WB-TB-DB,,8-May,180,,Cleveland Rams,,2nd
Brian Alford,Brian,Alford,6/7/1975,Purdue,WR,,1-Jun,190,,New York Giants,,3rd
Bruce Alford,Bruce,Alford,9/12/1922,TCU,E-DB,,Jun-00,190,,Phi/Pit Eagles/Steelers,,8th
Bruce Alford,Bruce,Alford,4/21/1945,TCU,K,,Jun-00,190,,Chicago Bears,,5th
Darnell Alford,Darnell,Alford,6/11/1977,Boston Col.,G,,4-Jun,328,,Kansas City Chiefs,,6th
Dominic Alford,Dominic,Alford,2/22/1988,,OL,,3-Jun,320,,,,
Gene Alford,Gene,Alford,4/3/1905,Sul Ross St.,WB-DB-BB-FB,,9-May,190,,,,
Jay Alford,Jay,Alford,5/28/1983,Penn St.,DT,,2-Jun,280,,New York Giants,,3rd
Lynwood Alford,Lynwood,Alford,8/22/1963,Syracuse,LB,,3-Jun,220,,,,
Mike Alford,Mike,Alford,6/19/1943,Auburn,C,,3-Jun,230,,Kansas City Chiefs,,19th
Robert Alford,Robert,Alford,11/1/1988,SE Louisiana,CB,,10-May,188,,Atlanta Falcons,,2nd
Warren Alfson,Warren,Alfson,5/10/1915,Nebraska,G-LB,,Jun-00,198,,Brooklyn Dodgers,,16th
Charles Ali,Charles,Ali,8/23/1984,Ark-Pine Bluff,RB,,2-Jun,260,,,,
Tuineau Alipate,Tuineau,Alipate,8/21/1967,Washington St.,LB,,1-Jun,245,,,,
Don Allard,Don,Allard,4/21/1936,Boston Col.,QB,,1-Jun,188,,Washington Redskins,,1st
Raul Allegre,Raul,Allegre,6/15/1959,Montana,K,,9-May,165,,,,
Andy Alleman,Andy,Alleman,11/20/1983,Akron,G,,4-Jun,310,,New Orleans Saints,,3rd
Anthony Allen,Anthony,Allen,6/29/1959,Washington,WR,,11-May,180,,Atlanta Falcons,,6th
Anthony Allen,Anthony,Allen,8/6/1988,Georgia Tech,RB,,1-Jun,228,,Baltimore Ravens,,7th
Antonio Allen,Antonio,Allen,9/23/1988,South Carolina,SS,,1-Jun,210,,New York Jets,,7th
Armando Allen,Armando,Allen,4/30/1989,Notre Dame,RB,,10-May,190,,,,
Asher Allen,Asher,Allen,1/22/1988,Georgia,DB,,10-May,190,,Minnesota Vikings,,3rd
Brian Allen,Brian,Allen,4/20/1980,Stanford,RB,,9-May,205,,Indianapolis Colts,,6th
Brian L. Allen,Brian,L.,4/1/1978,Florida St.,LB,,Jun-00,232,,St. Louis Rams,,3rd
Buddy Allen,Buddy,Allen,7/11/1937,Utah St.,HB,,11-May,193,,,,
Carl Allen,Carl,Allen,6/25/1920,Ouachita Baptist,RB-DB,,Jun-00,175,,,,
Carl Allen,Carl,Allen,12/21/1955,Southern Miss,DB,,Jun-00,185,,Cincinnati Bengals,,11th
Chuck Allen,Chuck,Allen,9/7/1939,Washington,LB,,1-Jun,225,,San Diego Chargers,,28th
Cortez Allen,Cortez,Allen,10/29/1988,The Citadel,DB,,1-Jun,197,,Pittsburgh Steelers,,4th
Dalva Allen,Dalva,Allen,1/13/1935,Houston,DE,,4-Jun,245,,Los Angeles Rams,,23rd
David Allen,David,Allen,2/9/1978,Kansas St.,RB,,9-May,195,,,,
Derek Allen,Derek,Allen,1/30/1971,Illinois,G,,4-Jun,290,,,,
Don Allen,Don,Allen,8/20/1939,Texas,FB,,Jun-00,200,,,,
Doug Allen,Doug,Allen,11/13/1951,Penn St.,LB,,2-Jun,228,,Buffalo Bills,,2nd
Duane Allen,Duane,Allen,10/21/1937,Mount San Antonio JC,TE,,4-Jun,225,,Denver Broncos,,33rd
Dwayne Allen,Dwayne,Allen,2/24/1990,Clemson,TE,,3-Jun,255,,Indianapolis Colts,,3rd
Earl Allen,Earl,Allen,10/24/1961,Michigan,DB,,11-May,193,,,,
Ed Allen,Ed,Allen,6/5/1901,Creighton,E,,8-May,175,,,,
Eddie Allen,Eddie,Allen,5/5/1920,Pennsylvania,FB-LB,,1-Jun,200,,Chicago Bears,,11th
Egypt Allen,Egypt,Allen,7/28/1964,TCU,DB,,Jun-00,203,,,,
Eric Allen,Eric,Allen,11/22/1965,Arizona St.,DB,,10-May,184,,Philadelphia Eagles,,2nd
Ermal Allen,Ermal,Allen,12/25/1918,Kentucky,QB-DB,,11-May,165,,Chicago Cardinals,,3rd
Gary Allen,Gary,Allen,4/23/1960,Hawaii,RB,,10-May,183,,Houston Oilers,,6th
